Na'vi,IPA,Part of speech,English,Audio URL,Audio local URL
'ä',[ʔæʔ],intj. ,oops!,https://s.learnnavi.org/audio/vocab/7964.mp3,7964.mp3
'a'aw,[ˈʔa.ʔaw],adj. ,"a few, several",https://s.learnnavi.org/audio/vocab/6224.mp3,6224.mp3
'ä'o,[ˈʔæ.ʔo],n. ,pitcher plant,https://s.learnnavi.org/audio/vocab/5736.mp3,5736.mp3
'ak,[ʔak̚],intj. ,"ow, ouch",https://s.learnnavi.org/audio/vocab/13200.mp3,13200.mp3
'akra,[ˈʔak.ɾa],n. ,soil (fertile),https://s.learnnavi.org/audio/vocab/7564.mp3,7564.mp3
'aku,[ˈʔ·a.k·u],vtr. ,"remove, take away, take off",https://s.learnnavi.org/audio/vocab/7872.mp3,7872.mp3
'al,[ʔ·al],vtr. ,waste,https://s.learnnavi.org/audio/vocab/10096.mp3,10096.mp3
'älek,[ˈʔæ.lɛk̚],adj. ,determined,https://s.learnnavi.org/audio/vocab/13272.mp3,13272.mp3
'ali'ä,[ʔa.ˈliʔ.æ],n. ,collar / choker,https://s.learnnavi.org/audio/vocab/7820.mp3,7820.mp3
'ampi,[ˈʔ·am.p·i],vtr. ,touch,https://s.learnnavi.org/audio/vocab/4.mp3,4.mp3
'ampirikx,[ˈʔam.pi.ɾik'],n. ,leaf pitcher plant,https://s.learnnavi.org/audio/vocab/5788.mp3,5788.mp3
'ana,[ˈʔa.na],n. ,hanging vine,https://s.learnnavi.org/audio/vocab/8496.mp3,8496.mp3
'ango,[ˈʔa.ŋo],adj. ,soft (of a sound),https://s.learnnavi.org/audio/vocab/4948.mp3,4948.mp3
'angtsìk,[ˈʔaŋ.t͡sɪk̚],n. ,hammerhead,https://s.learnnavi.org/audio/vocab/8.mp3,8.mp3
'anla,[ˈʔ·an.l·a],vtr. ,yearn for,https://s.learnnavi.org/audio/vocab/9572.mp3,9572.mp3
'änsyem,[ʔæn.ˈsjɛm],adj. ,complete,https://s.learnnavi.org/audio/vocab/4696.mp3,4696.mp3
'are,[ˈʔa.ɾɛ],n. ,"poncho, cape, shawl",https://s.learnnavi.org/audio/vocab/7824.mp3,7824.mp3
'ärìp,[ˈʔ·æ.ɾ·ɪp̚],vtr. ,move,https://s.learnnavi.org/audio/vocab/3664.mp3,3664.mp3
'asap,[ˈʔa.sap̚],n. ,sudden shock,https://s.learnnavi.org/audio/vocab/12961.mp3,12961.mp3
'asap si,[ˈʔa.sap s·i],vin. ,"be shocked, be startled",https://s.learnnavi.org/audio/vocab/12962.mp3,12962.mp3
'avun,[ˈʔ·a.v·un],vtr. ,"save (time, food, etc.)",https://s.learnnavi.org/audio/vocab/13288.mp3,13288.mp3
'aw,[ʔaw],num. ,one,https://s.learnnavi.org/audio/vocab/12.mp3,12.mp3
'awkx,[ʔawk'],n. ,cliff,https://s.learnnavi.org/audio/vocab/20.mp3,20.mp3
'awlie,[ʔaw.ˈli.ɛ],adv. ,once (in the past),https://s.learnnavi.org/audio/vocab/5084.mp3,5084.mp3
'awlo,[ˈʔaw.lo],adv. ,once,https://s.learnnavi.org/audio/vocab/4368.mp3,4368.mp3
'awm,[ʔawm],n. ,camp,https://s.learnnavi.org/audio/vocab/4756.mp3,4756.mp3
'awnìm,[ˈʔ·aw.nɪm],vtr. ,avoid,https://s.learnnavi.org/audio/vocab/8028.mp3,8028.mp3
'awpo,[ˈʔaw.po],pn. ,one individual,https://s.learnnavi.org/audio/vocab/24.mp3,24.mp3
'awsiteng,[ʔaw.si.ˈtɛŋ],adv. ,together,https://s.learnnavi.org/audio/vocab/28.mp3,28.mp3
'awstengyem,[ʔaw.stɛŋ.ˈj·ɛm],vtr. ,bind / bring two or more things together (ii),https://s.learnnavi.org/audio/vocab/3668.mp3,3668.mp3
'awve,[ˈʔaw.vɛ],adj. ,first (ordinal),https://s.learnnavi.org/audio/vocab/32.mp3,32.mp3
'e'al,[ˈʔɛ.ʔal],adj. ,worst,https://s.learnnavi.org/audio/vocab/36.mp3,36.mp3
'e'in,[ʔɛ.ˈʔin],n. ,"pod, gourd",https://s.learnnavi.org/audio/vocab/10564.mp3,10564.mp3
'e'insey,[ʔɛ.ˈʔin.Sɛj],n. ,drinking gourd,https://s.learnnavi.org/audio/vocab/10568.mp3,10568.mp3
'efu,[ˈʔ·ɛ.f·u],vtr. ,"feel, sense, perceive",https://s.learnnavi.org/audio/vocab/3672.mp3,3672.mp3
'eko,[ˈʔ·ɛ.k·o],vtr. ,attack,https://s.learnnavi.org/audio/vocab/44.mp3,44.mp3
'ekong,[ˈʔɛ.koŋ],n. ,beat (rhythmic),https://s.learnnavi.org/audio/vocab/48.mp3,48.mp3
'ekxin,[ʔɛ.ˈk'in],adj. ,tight,https://s.learnnavi.org/audio/vocab/8992.mp3,8992.mp3
'ekxinum,[ʔɛ.ˈk'i.num],n. ,"degree of tightness, looseness",https://s.learnnavi.org/audio/vocab/9000.mp3,9000.mp3
'ekxinumpe,[ʔɛ.ˈk'i.num.pɛ],inter. ,"how tight, loose?",https://s.learnnavi.org/audio/vocab/9836.mp3,9836.mp3
'ele'wll,[ˈʔɛ.lɛʔ.wḷ],n. ,"thorny paw, cactus",https://s.learnnavi.org/audio/vocab/5684.mp3,5684.mp3
'em,[ʔ·ɛm],vtr. ,cook,https://s.learnnavi.org/audio/vocab/3676.mp3,3676.mp3
'emyu,[ˈʔɛm.ju],n. ,"cook, cooker",https://s.learnnavi.org/audio/vocab/6832.mp3,6832.mp3
'en,[ʔɛn],n. ,"guess, informed guess, hunch, intuition",https://s.learnnavi.org/audio/vocab/7200.mp3,7200.mp3
'en si,[ˈʔɛn ˈs·i],vin. ,make an informed guess,https://s.learnnavi.org/audio/vocab/7204.mp3,7204.mp3
'engeng,[ˈʔɛŋ.ɛŋ],adj. ,level,https://s.learnnavi.org/audio/vocab/52.mp3,52.mp3
'eoio,[ˈʔɛ.o.i.o],adj. ,ceremonious,https://s.learnnavi.org/audio/vocab/4408.mp3,4408.mp3
'etnaw,[ˈʔɛt.naw],n. ,shoulder,https://s.learnnavi.org/audio/vocab/7712.mp3,7712.mp3
'evan,[ˈʔɛ.van],n. ,boy (colloquial),https://s.learnnavi.org/audio/vocab/6632.mp3,6632.mp3
'eve,[ˈʔɛ.vɛ],n. ,girl (colloquial),https://s.learnnavi.org/audio/vocab/6636.mp3,6636.mp3
'eveng,[ˈʔɛ.vɛŋ],n. ,child,https://s.learnnavi.org/audio/vocab/56.mp3,56.mp3
'evengan,[ˈʔɛ.vɛ.ŋan],n. ,boy,https://s.learnnavi.org/audio/vocab/6640.mp3,6640.mp3
'evenge,[ˈʔɛ.vɛ.ŋɛ],n. ,girl,https://s.learnnavi.org/audio/vocab/6644.mp3,6644.mp3
'evi,[ˈʔɛ.vi],n. ,kid (affectionate form of),https://s.learnnavi.org/audio/vocab/60.mp3,60.mp3
'ewan,[ˈʔɛ.wan],adj. ,young,https://s.learnnavi.org/audio/vocab/64.mp3,64.mp3
'ewll,[ˈʔɛ.wḷ],n. ,plant,https://s.learnnavi.org/audio/vocab/2708.mp3,2708.mp3
'ewrang,[ˈʔɛw.ɾaŋ],n. ,loom,https://s.learnnavi.org/audio/vocab/10832.mp3,10832.mp3
'eylan,[ˈʔɛj.lan],n. ,friend,https://s.learnnavi.org/audio/vocab/68.mp3,68.mp3
'eylanay,[ʔɛj.la.ˈnaj],n. ,acquaintance (with the potential for becoming a friend),https://s.learnnavi.org/audio/vocab/9648.mp3,9648.mp3
'eyng,[ʔ·ɛjŋ],v. ,"answer, respond, respond to",https://s.learnnavi.org/audio/vocab/3680.mp3,3680.mp3
'eyt,[ʔɛjt̚],n. ,the symbol 8 (not the value eight),https://s.learnnavi.org/audio/vocab/5352.mp3,5352.mp3
'i'a,[ˈʔ·iʔ.·a],vin. ,"end, conclude",https://s.learnnavi.org/audio/vocab/3684.mp3,3684.mp3
'ì'awn,[ʔ·ɪ.ˈʔ·awn],vin. ,"remain, stay",https://s.learnnavi.org/audio/vocab/76.mp3,76.mp3
'ia,[ˈʔ·i.·a],vin. ,lose oneself (spiritual sense),https://s.learnnavi.org/audio/vocab/3688.mp3,3688.mp3
'ìheyu,[ʔɪ.ˈhɛ.ju],n. ,spiral,https://s.learnnavi.org/audio/vocab/80.mp3,80.mp3
'ìn,[ʔ·ɪn],svin. ,"be busy, be occupied",https://s.learnnavi.org/audio/vocab/6868.mp3,6868.mp3
'Ìnglìsì,[ˈʔɪŋ.lɪ.sɪ],n. ,English language,https://s.learnnavi.org/audio/vocab/84.mp3,84.mp3
'ìp,[ʔ·ɪp̚],vin. ,"disappear, vanish, recede from view",https://s.learnnavi.org/audio/vocab/8560.mp3,8560.mp3
'ipu,[ˈʔi.pu],adj. ,"humorous, funny, amusing",https://s.learnnavi.org/audio/vocab/8360.mp3,8360.mp3
'it,[ʔit̚],n. ,"bit, a small amount",https://s.learnnavi.org/audio/vocab/88.mp3,88.mp3
'itan,[ˈʔi.tan],n. ,son,https://s.learnnavi.org/audio/vocab/92.mp3,92.mp3
'ite,[ˈʔi.tɛ],n. ,daughter,https://s.learnnavi.org/audio/vocab/96.mp3,96.mp3
'itetsyìp,[ˈʔi.tɛ.t͡sjɪp̚],n. ,little daughter (term of endearment),https://s.learnnavi.org/audio/vocab/6108.mp3,6108.mp3
'llngo,[ˈʔḷ.ŋo],n. ,hip,https://s.learnnavi.org/audio/vocab/8700.mp3,8700.mp3
'o',[ʔoʔ],adj. ,"bringing fun, exciting",https://s.learnnavi.org/audio/vocab/6896.mp3,6896.mp3
